Park Name,Year,Cause of Death
Lake Mead National Recreation Area,2021,26
Grand Canyon National Park,2014,26
Lake Mead National Recreation Area,2017,26
Lake Mead National Recreation Area,2022,24
Yosemite National Park,2017,22
Lake Mead National Recreation Area,2010,22
Blue Ridge Parkway,2018,21
Lake Mead National Recreation Area,2014,21
Lake Mead National Recreation Area,2019,21
Natchez Trace Parkway,2017,20
Blue Ridge Parkway,2016,20
Yosemite National Park,2015,20
Grand Canyon National Park,2018,20
Golden Gate National Recreation Area,2019,20
Grand Canyon National Park,2017,20
Lake Mead National Recreation Area,2015,20
Lake Mead National Recreation Area,2018,19
Yosemite National Park,2018,19
Lake Mead National Recreation Area,2016,19
Lake Mead National Recreation Area,2011,18
Lake Mead National Recreation Area,2009,17
Golden Gate National Recreation Area,2017,17
Sequoia & Kings Canyon National Parks,2017,17
Natchez Trace Parkway,2014,17
Lake Mead National Recreation Area,2012,16
Great Smoky Mountains National Park,2019,16
Lake Mead National Recreation Area,2020,15
Yosemite National Park,2019,15
Denali National Park & Preserve,2012,15
Blue Ridge Parkway,2019,15
Natchez Trace Parkway,2016,15
Great Smoky Mountains National Park,2016,15
Golden Gate National Recreation Area,2016,15
Yosemite National Park,2011,15
Yosemite National Park,2016,15
Great Smoky Mountains National Park,2018,14
Blue Ridge Parkway,2017,14
Blue Ridge Parkway,2015,14
Grand Canyon National Park,2015,14
New River Gorge National River,2018,14
Natchez Trace Parkway,2018,14
Grand Canyon National Park,2016,14
Lake Mead National Recreation Area,2013,14
Natchez Trace Parkway,2015,13
Glen Canyon National Recreation Area,2018,13
Grand Canyon National Park,2019,13
Natchez Trace Parkway,2019,13
Sequoia & Kings Canyon National Parks,2016,12
Lake Mead National Recreation Area,2008,11
Gateway National Recreation Area,2015,11
Grand Canyon National Park,2011,11
Great Smoky Mountains National Park,2020,11
Golden Gate National Recreation Area,2009,11
Yellowstone National Park,2015,11
Yosemite National Park,2014,11
Grand Canyon National Park,2009,11
Great Smoky Mountains National Park,2022,11
Glen Canyon National Recreation Area,2007,10
Yellowstone National Park,2019,10
Yellowstone National Park,2016,10
Cape Hatteras National Seashore,2016,10
Zion National Park,2015,10
Golden Gate National Recreation Area,2022,10
Great Smoky Mountains National Park,2021,10
Baltimore-Washington Parkway,2022,10
National Mall & Memorial Parks,2022,10
Mount Rainier National Park,2012,9
Sequoia & Kings Canyon National Parks,2019,9
Cape Hatteras National Seashore,2017,9
Mount Rainier National Park,2014,9
Rocky Mountain National Park,2018,9
Mount Rainier National Park,2007,9
Great Smoky Mountains National Park,2013,9
Death Valley National Park,2019,9
New River Gorge National River,2017,9
Gulf Islands National Seashore,2021,9
New River Gorge National River,2019,9
Lake Mead National Recreation Area,2007,9
Blue Ridge Parkway,2014,9
George Washington Memorial Parkway,2019,9
Grand Teton National Park,2014,9
Yosemite National Park,2012,9
Golden Gate National Recreation Area,2015,9
Natchez Trace Parkway,2020,9
Baltimore-Washington Parkway,2013,9
Grand Canyon National Park,2010,9
Glen Canyon National Recreation Area,2016,9
Yosemite National Park,2009,9
Baltimore-Washington Parkway,2019,9
Natchez Trace Parkway,2021,9
Glen Canyon National Recreation Area,2012,9
Great Smoky Mountains National Park,2017,8
Grand Teton National Park,2018,8
Golden Gate National Recreation Area,2018,8
Blue Ridge Parkway,2011,8
Point Reyes National Seashore,2015,8
National Mall & Memorial Parks,2015,8
Point Reyes National Seashore,2014,8
Glen Canyon National Recreation Area,2017,8
New River Gorge National River,2011,8
Gateway National Recreation Area,2016,8
Saint Croix National Scenic Riverway,2015,8
Glen Canyon National Recreation Area,2019,8
Gateway National Recreation Area,2019,8
Sequoia & Kings Canyon National Parks,2018,8
Suitland,2017,8
Grand Teton National Park,2013,8
Golden Gate National Recreation Area,2010,8
Buffalo National River,2022,8
Rock Creek Park,2017,8
Yosemite National Park,2022,8
Shenandoah National Park,2018,8
Grand Canyon National Park,2022,8
Glen Canyon National Recreation Area,2014,8
Grand Canyon National Park,2021,8
Baltimore-Washington Parkway,2020,8
Denali National Park & Preserve,2010,8
Golden Gate National Recreation Area,2014,8
Glen Canyon National Recreation Area,2013,8
Virgin Islands National Park,2021,8
Rocky Mountain National Park,2019,8
Denali National Park & Preserve,2011,8
Rocky Mountain National Park,2014,8
Delaware Water Gap National Recreation Area,2008,7
Delaware Water Gap National Recreation Area,2013,7
Great Smoky Mountains National Park,2015,7
Mount Rainier National Park,2018,7
Buffalo National River,2019,7
Glen Canyon National Recreation Area,2021,7
Golden Gate National Recreation Area,2008,7
Presidio of San Francisco,2019,7
Zion National Park,2010,7
Sequoia & Kings Canyon National Parks,2014,7
Yellowstone National Park,2010,7
Glen Canyon National Recreation Area,2020,7
Grand Teton National Park,2012,7
Cape Hatteras National Seashore,2021,7
Yellowstone National Park,2018,7
Rocky Mountain National Park,2010,7
Great Smoky Mountains National Park,2009,7
Olympic National Park,2019,7
Chattahoochee River National Recreation Area,2013,7
Mount Rainier National Park,2010,7
Grand Canyon National Park,2020,7
Upper Delaware Scenic & Recreational River,2021,7
Great Smoky Mountains National Park,2014,7
Great Smoky Mountains National Park,2010,6
Glen Canyon National Recreation Area,2011,6
Grand Canyon National Park,2012,6
Buffalo National River,2015,6
Golden Gate National Recreation Area,2007,6
Haleakala National Park,2007,6
Yosemite National Park,2021,6
Valley Forge National Historical Park,2014,6
Rocky Mountain National Park,2016,6
Sequoia & Kings Canyon National Parks,2013,6
Sequoia & Kings Canyon National Parks,2012,6
Death Valley National Park,2014,6
Gulf Islands National Seashore,2014,6
Death Valley National Park,2018,6
Olympic National Park,2017,6
Cape Hatteras National Seashore,2012,6
Cape Hatteras National Seashore,2007,6
Yosemite National Park,2010,6
Blue Ridge Parkway,2010,6
New River Gorge National River,2012,6
New River Gorge National River,2022,6
New River Gorge National River,2016,6
New River Gorge National River,2015,6
Colonial National Historical Park,2016,6
Lake Mead National Recreation Area,2023,6
George Washington Memorial Parkway,2021,6
George Washington Memorial Parkway,2022,6
Grand Canyon National Park,2013,6
Grand Canyon National Park,2007,6
Glen Canyon National Recreation Area,2015,6
Yellowstone National Park,2007,6
Joshua Tree National Park,2014,6
Chattahoochee River National Recreation Area,2019,6
Baltimore-Washington Parkway,2021,6
Glen Canyon National Recreation Area,2008,6
Glen Canyon National Recreation Area,2009,6
Shenandoah National Park,2021,6
Cape Hatteras National Seashore,2009,6
Yosemite National Park,2007,6
Suitland,2019,6
Suitland,2018,6
Natchez Trace Parkway,2007,6
Gateway National Recreation Area,2014,6
Natchez Trace Parkway,2008,6
Natchez Trace Parkway,2010,6
Golden Gate National Recreation Area,2020,5
Death Valley National Park,2021,5
Golden Gate National Recreation Area,2013,5
Cape Hatteras National Seashore,2014,5
Suitland,2021,5
Indiana Dunes National Park,2011,5
Chattahoochee River National Recreation Area,2018,5
Chattahoochee River National Recreation Area,2017,5
Cape Hatteras National Seashore,2018,5
Zion National Park,2017,5
Death Valley National Park,2017,5
Cuyahoga Valley National Park,2016,5
Zion National Park,2021,5
Chesapeake & Ohio Canal National Historical Park,2014,5
Chattahoochee River National Recreation Area,2014,5
Hawaii Volcanoes National Park,2017,5
Death Valley National Park,2022,5
Point Reyes National Seashore,2010,5
Natchez Trace Parkway,2022,5
Suitland,2022,5
Acadia National Park,2019,5
Channel Islands National Park,2012,5
Capitol Reef National Park,2014,5
Yellowstone National Park,2014,5
Natchez Trace Parkway,2009,5
Glen Canyon National Recreation Area,2022,5
Blue Ridge Parkway,2013,5
Great Falls,2013,5
Gateway National Recreation Area,2008,5
Blue Ridge Parkway,2007,5
National Mall & Memorial Parks,2016,5
Sequoia & Kings Canyon National Parks,2015,5
Rock Creek Park,2014,5
Colorado National Monument,2022,5
Padre Island National Seashore,2017,5
Mount Rainier National Park,2020,5
Big Bend National Park,2019,5
Mojave National Preserve,2019,5
Redwood National and State Parks,2019,5
Mount Rainier National Park,2011,5
Baltimore-Washington Parkway,2015,5
Glacier National Park,2010,5
Glacier National Park,2013,5
Baltimore-Washington Parkway,2018,5
Big Cypress National Preserve,2018,5
Olympic National Park,2016,5
Great Falls Park,2017,5
Mount Rainier National Park,2019,5
Rocky Mountain National Park,2013,5
Upper Delaware Scenic & Recreational River,2011,5
Olympic National Park,2015,5
Chesapeake & Ohio Canal National Historical Park,2019,5
Yosemite National Park,2023,5
Delaware Water Gap National Recreation Area,2011,5
Delaware Water Gap National Recreation Area,2015,5
Delaware Water Gap National Recreation Area,2016,5
Delaware Water Gap National Recreation Area,2020,5
Denali National Park & Preserve,2007,5
Olympic National Park,2010,5
