Park Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average
Blue Ridge PKWY,"17,352,286","16,309,307","15,936,316","14,517,118","15,382,447","15,205,059","12,877,368","13,941,749","15,054,603","15,175,578","16,093,765","14,690,418","14,976,085","14,099,485","15,948,148","15,711,004","16,757,635","15,295,787"
Golden Gate NRA,"14,397,313","14,554,750","15,036,372","14,271,503","14,567,487","14,540,338","14,289,121","15,004,420","14,888,537","15,638,777","14,981,897","15,223,697","15,002,227","12,400,045","13,712,614","15,638,911","14,953,882","14,653,052"
Great Smoky Mountains NP,"9,372,253","9,044,010","9,491,437","9,463,538","9,008,830","9,685,829","9,354,695","10,099,276","10,712,674","11,312,786","11,338,893","11,421,200","12,547,743","12,095,720","14,161,548","12,937,633","13,297,647","10,902,689"
Gateway NRA,"8,813,204","9,431,021","9,010,522","8,820,757","7,697,727","5,043,863","6,191,246","6,021,713","6,392,565","8,651,770","9,190,610","9,243,305","9,405,622","8,404,728","9,060,807","8,728,291","8,705,329","8,165,475"
George Washington MEM PKWY,"6,837,139","7,009,630","6,938,309","6,925,099","7,417,397","7,425,577","7,360,392","7,472,150","7,286,463","10,323,339","7,562,793","7,288,623","7,487,265","6,237,361","6,821,179","7,397,120","7,391,260","7,363,594"
Lake Mead NRA,"7,622,139","7,601,863","7,668,689","7,080,758","6,396,682","6,285,439","6,344,714","6,942,873","7,298,465","7,175,891","7,882,339","7,578,958","7,499,049","8,016,510","7,603,474","5,578,226","5,798,541","7,080,859"
Lincoln Memorial,"4,214,167","4,678,861","5,255,570","6,042,315","5,971,220","6,191,361","6,546,518","7,139,072","7,941,771","7,915,934","7,956,117","7,804,683","7,808,182","2,980,075","5,792,331","7,825,397","8,099,148","6,480,160"
Natchez Trace PKWY,"5,777,666","5,747,235","5,934,363","5,910,950","5,765,343","5,560,668","6,012,740","5,846,474","5,785,812","5,891,315","6,326,062","6,362,439","6,296,041","6,124,808","6,401,346","6,543,533","6,784,853","6,063,038"
Grand Canyon NP,"4,413,668","4,425,314","4,348,068","4,388,386","4,298,178","4,421,352","4,564,840","4,756,771","5,520,736","5,969,811","6,254,238","6,380,495","5,974,411","2,897,098","4,532,677","4,732,101","4,733,705","4,859,521"
Gulf Islands NS,"2,034,294","2,054,201","4,132,674","4,283,747","5,501,872","4,973,462","4,837,965","4,455,240","3,976,883","4,771,309","3,952,941","4,229,968","5,600,240","4,012,129","5,458,816","5,685,155","8,277,857","4,602,280"
Chesapeake & Ohio Canal NHP,"2,809,968","3,111,468","3,751,681","4,111,238","3,937,504","4,712,377","4,941,367","5,066,219","4,798,312","4,813,078","4,859,573","4,438,818","5,116,787","4,888,436","5,005,217","4,286,185","4,470,592","4,418,754"
Vietnam Veterans MEM,"3,633,793","4,243,573","4,437,771","4,555,371","4,020,127","4,424,407","4,142,721","4,403,467","5,597,077","5,299,713","5,072,589","4,719,148","4,580,587","1,585,525","3,636,033","4,886,254","5,039,454","4,369,271"
Delaware Water Gap NRA,"4,836,229","5,127,074","5,213,030","5,285,761","4,986,700","4,970,802","4,843,350","4,041,672","3,735,134","3,677,744","3,400,944","3,261,921","3,374,865","4,068,529","4,340,902","4,380,225","4,207,541","4,338,378"
Cape Cod NS,"4,351,609","4,644,235","4,311,949","4,653,706","4,454,771","4,441,290","4,501,898","4,426,750","4,503,220","4,692,796","4,125,418","3,926,462","4,096,104","4,083,505","4,017,239","3,968,672","3,808,404","4,294,590"
World War II Memorial,"4,079,606","4,153,749","4,118,528","3,964,351","3,752,172","4,161,685","3,934,166","4,230,793","5,068,224","4,856,532","4,876,842","4,652,865","4,831,327","1,924,128","3,727,167","4,815,309","5,119,541","4,250,999"
Yosemite NP,"3,503,428","3,431,514","3,737,472","3,901,408","3,951,393","3,853,404","3,691,191","3,882,642","4,150,217","5,028,868","4,336,890","4,009,436","4,422,861","2,268,313","3,287,595","3,667,550","3,897,070","3,824,780"
San Francisco Maritime NHP,"4,042,022","4,086,211","4,152,497","4,130,970","4,224,897","4,129,983","4,154,455","4,256,888","4,173,014","4,334,752","4,493,519","4,223,542","4,016,598","1,936,101","2,827,885","3,034,750","1,769,467","3,763,974"
Yellowstone NP,"3,151,343","3,066,580","3,295,187","3,640,185","3,394,326","3,447,729","3,188,030","3,513,484","4,097,710","4,257,177","4,116,524","4,115,000","4,020,288","3,806,306","4,860,242","3,290,242","4,501,382","3,750,690"
Rocky Mountain NP,"2,895,383","2,757,390","2,822,325","2,955,821","3,176,941","3,229,617","2,991,141","3,434,751","4,155,916","4,517,585","4,437,215","4,590,493","4,670,053","3,305,199","4,434,848","4,300,424","4,115,837","3,693,585"
Castle Clinton NM,"3,509,468","3,727,030","4,080,152","4,126,378","3,985,366","3,264,439","2,180,694","4,727,110","4,597,029","4,812,930","4,737,113","4,533,564","4,361,034","633,793","1,665,660","3,471,661","3,929,749","3,667,245"
Zion NP,"2,657,281","2,690,154","2,735,402","2,665,972","2,825,505","2,973,607","2,807,387","3,189,696","3,648,846","4,295,127","4,504,812","4,320,033","4,488,268","3,591,254","5,039,835","4,692,417","4,623,238","3,632,284"
Independence NHP,"3,705,538","4,076,638","3,967,694","3,751,007","3,572,770","3,594,549","3,553,070","3,648,050","4,311,582","5,067,510","4,790,758","4,576,456","4,532,459","907,090","1,495,686","2,688,302","3,042,598","3,604,809"
Korean War Veterans Memorial,"3,433,663","3,654,976","3,117,046","3,072,716","3,073,430","3,267,124","3,209,279","3,767,287","4,077,835","4,084,298","4,155,947","4,107,520","3,841,633","1,363,714","2,986,751","4,010,009","4,132,456","3,491,511"
Statue of Liberty NM,"3,380,296","3,555,244","3,829,483","3,833,288","3,749,982","3,029,443","1,883,544","4,198,815","4,279,020","4,501,547","4,441,988","4,335,431","4,240,461","576,396","1,556,482","3,141,213","3,739,607","3,427,779"
Colonial NHP,"3,343,910","3,332,039","3,324,751","3,459,965","3,414,577","3,274,187","3,168,731","3,335,060","3,343,909","3,352,656","3,333,448","3,294,224","3,327,268","2,946,594","3,114,420","2,762,273","2,691,931","3,224,703"
Chattahoochee River NRA,"2,836,077","2,826,171","2,830,655","3,011,393","3,161,297","3,168,137","3,039,892","3,119,160","3,173,204","2,736,385","2,768,499","2,873,866","3,393,133","3,066,877","3,256,151","3,537,848","3,183,081","3,057,754"
"Martin Luther King, Jr. Memorial",,,,,"1,490,358","3,738,336","3,205,654","3,199,136","3,530,401","3,638,208","3,651,093","3,567,434","3,667,562","1,083,671","2,032,470","3,321,897","3,341,654","3,035,990"
Olympic NP,"2,988,686","3,081,451","3,276,459","2,844,563","2,966,502","2,824,908","3,085,340","3,243,872","3,263,761","3,390,221","3,401,996","3,104,455","3,245,806","2,499,177","2,718,925","2,432,972","2,947,503","3,018,623"
Grand Teton NP,"2,588,574","2,485,987","2,580,081","2,669,374","2,587,437","2,705,256","2,688,794","2,791,392","3,149,921","3,270,076","3,317,000","3,491,151","3,405,614","3,289,638","3,885,230","2,806,223","3,417,106","3,007,580"
Acadia NP,"2,202,228","2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,669,034","4,069,098","3,970,260","3,879,890","2,930,631"
Glen Canyon NRA,"1,894,114","1,947,507","1,960,345","2,124,467","2,270,817","2,061,328","1,991,924","2,368,452","2,495,093","3,239,525","4,574,940","4,219,441","4,330,563","2,553,392","3,144,318","2,842,776","5,206,934","2,895,643"
Franklin Delano Roosevelt MEM,"2,751,725","2,622,806","2,591,241","2,238,052","2,309,708","2,764,459","2,837,729","2,938,239","3,290,080","4,360,502","3,507,402","3,288,299","3,303,573","1,010,986","2,022,050","3,291,313","3,298,788","2,848,644"
Thomas Jefferson MEM,"2,327,254","2,363,263","2,337,868","2,305,856","1,945,696","2,613,131","2,609,463","2,708,607","3,102,442","3,414,345","3,366,571","3,198,859","3,096,895","852,626","1,833,924","2,975,148","2,984,919","2,590,404"
Glacier NP,"2,083,329","1,808,027","2,031,348","2,200,048","1,853,564","2,162,035","2,190,374","2,338,528","2,366,056","2,946,681","3,305,512","2,965,309","3,049,839","1,698,864","3,081,656","2,908,458","2,933,616","2,466,073"
Cuyahoga Valley NP,"2,486,656","2,828,233","2,589,288","2,492,670","2,161,185","2,299,722","2,103,010","2,189,849","2,284,612","2,423,390","2,226,879","2,096,053","2,237,997","2,755,628","2,575,275","2,913,312","2,860,059","2,442,578"
Cape Hatteras NS,"2,237,378","2,146,392","2,282,543","2,193,292","1,960,711","2,302,040","2,214,565","2,153,350","2,274,635","2,411,711","2,433,703","2,591,056","2,606,632","2,648,522","3,206,056","2,862,844","2,826,169","2,432,447"
Point Reyes NS,"2,206,294","2,248,203","2,170,646","2,067,271","2,129,116","2,412,663","2,641,808","2,433,944","2,501,106","2,438,442","2,456,669","2,397,722","2,265,301","2,252,424","2,738,098","2,336,202","2,268,058","2,350,822"
Boston NHP,"2,184,889","2,232,495","2,155,026","2,060,497","2,546,156","2,629,064","2,245,875","2,476,078","2,262,841","2,594,495","3,425,606","3,053,241","3,201,834","277,170","1,098,210","2,123,246","2,517,296","2,299,060"
Assateague Island NS,"2,110,918","2,011,438","2,129,658","2,106,090","2,105,419","2,154,859","2,056,828","2,170,681","2,275,606","2,267,821","2,347,167","2,136,889","2,344,536","2,481,660","2,662,716","2,340,269","2,351,874","2,238,496"
Mount Rushmore NMEM,"1,856,118","1,789,328","2,260,192","2,331,237","2,081,722","2,185,447","2,162,998","2,144,808","2,434,297","2,431,231","2,437,800","2,311,273","1,963,540","2,074,986","2,525,868","2,440,449","2,431,195","2,227,205"
Joshua Tree NP,"1,298,979","1,392,446","1,304,471","1,434,976","1,396,237","1,396,117","1,383,340","1,589,904","2,025,756","2,505,286","2,853,619","2,942,382","2,988,547","2,399,542","3,064,400","3,058,294","3,270,404","2,135,571"
Rock Creek Park,"2,061,366","2,076,466","2,076,500","1,883,457","2,050,490","2,003,385","1,968,995","2,437,948","2,443,772","2,478,735","2,483,788","2,395,342","2,416,232","1,768,152","1,838,346","2,026,156","1,817,868","2,131,000"
Indiana Dunes NP,"1,972,344","1,833,596","1,944,568","2,150,345","1,840,513","1,889,381","1,681,695","1,553,372","1,640,195","1,698,223","2,158,471","1,756,079","2,134,285","2,293,106","3,177,210","2,834,180","2,765,892","2,077,850"
Kennesaw Mountain NBP,"1,329,441","1,415,917","1,372,228","1,512,191","1,748,436","1,935,909","1,924,076","2,119,013","2,174,870","2,360,256","2,593,725","2,549,164","2,621,050","2,356,401","1,800,823","1,322,003","1,499,217","1,919,689"
Gateway Arch NP,"2,385,387","1,954,810","2,360,109","2,436,110","2,259,020","2,496,726","2,377,258","1,817,091","1,698,656","1,271,855","1,398,188","2,016,180","2,055,309","486,021","1,145,081","1,618,774","2,422,836","1,894,083"
Bryce Canyon NP,"1,012,563","1,043,321","1,216,377","1,285,492","1,296,000","1,385,352","1,311,875","1,435,741","1,745,804","2,365,110","2,571,684","2,679,478","2,594,904","1,464,655","2,104,600","2,354,660","2,461,269","1,784,052"
Valley Forge NHP,"1,298,161","1,275,871","1,449,228","1,617,511","1,303,046","1,442,750","1,962,889","1,990,881","2,143,965","2,428,724","2,159,592","1,881,362","2,259,944","2,012,832","1,502,209","1,645,298","1,880,527","1,779,694"
National Capital Parks Central,"2,513,639","2,559,653","3,678,876","1,363,389","1,240,717","858,700","1,712,858","1,999,232","1,833,085","1,813,222","1,932,762","1,800,329","1,770,794","665,650","659,317","920,643","1,057,835","1,669,453"
Hot Springs NP,"1,300,152","1,238,147","1,284,707","1,311,807","1,396,354","1,302,505","1,325,719","1,424,484","1,418,162","1,544,300","1,561,616","1,506,887","1,467,153","1,348,215","2,162,884","2,646,133","2,502,967","1,573,070"
Pearl Harbor NMEM,"1,557,336","1,407,879","1,276,868","1,372,724","1,694,896","1,751,224","1,786,024","1,620,814","1,574,156","1,819,020","1,947,495","1,779,143","1,716,535","415,542","1,185,369","1,545,582","1,692,719","1,537,843"
Sleeping Bear Dunes NL,"1,134,314","1,008,135","1,165,836","1,280,932","1,348,304","1,531,560","1,340,007","1,395,401","1,535,633","1,683,553","1,678,126","1,643,600","1,570,001","1,718,696","1,722,955","1,501,117","1,598,248","1,462,142"
Hawaii Volcanoes NP,"1,467,779","1,270,538","1,233,105","1,304,667","1,352,123","1,483,928","1,583,209","1,693,005","1,832,660","1,887,580","2,016,702","1,116,891","1,368,376","589,775","1,262,747","1,580,961","1,620,294","1,450,844"
Canaveral NS,"1,038,449","994,453","1,001,665","966,099","1,005,001","994,430","1,133,688","1,451,225","1,689,754","1,629,944","1,598,586","1,657,855","1,884,122","1,162,950","2,218,059","2,122,075","2,019,073","1,445,143"
Chickasaw NRA,"1,368,806","1,230,609","1,238,484","1,253,637","1,212,139","1,487,039","1,099,669","1,152,083","1,254,105","1,676,421","1,533,684","1,477,906","1,422,612","1,348,122","1,517,102","1,455,530","2,082,326","1,400,604"
Fort Point NHS,"1,552,141","1,390,187","1,385,134","1,315,241","1,338,508","1,502,786","1,591,312","1,677,457","1,610,466","2,264,154","1,532,541","1,400,491","1,421,349","884,538","947,238","955,454","903,685","1,392,511"
Buffalo NR,"1,194,043","1,405,802","1,522,586","1,545,599","1,169,802","1,093,083","1,125,227","1,357,057","1,463,304","1,785,359","1,471,330","1,240,119","1,326,282","1,478,846","1,515,874","1,306,932","1,549,467","1,385,336"
Amistad NRA,"1,734,200","1,980,717","2,573,966","1,574,322","1,436,759","1,367,502","1,025,151","1,130,096","1,250,051","1,164,530","1,221,635","1,111,770","1,267,900","1,424,139","1,091,897","912,283","836,733","1,359,038"
Lake Roosevelt NRA,"1,450,438","1,337,024","1,382,663","1,324,074","1,523,474","1,781,972","1,254,409","1,180,898","1,170,843","1,253,571","1,304,403","1,276,722","1,358,818","1,519,403","1,336,629","1,128,725","1,140,360","1,336,731"
Shenandoah NP,"1,107,227","1,075,878","1,120,981","1,253,386","1,209,883","1,210,200","1,136,505","1,255,321","1,321,873","1,437,341","1,458,874","1,264,880","1,425,507","1,666,265","1,592,312","1,449,300","1,576,008","1,327,161"
Ozark NSR,"1,789,783","1,243,507","1,308,718","1,416,529","1,365,960","1,406,781","1,253,703","1,296,437","1,277,941","1,241,480","1,165,296","1,264,657","1,221,489","1,316,795","1,328,773","1,291,305","1,334,137","1,324,899"
Mount Rainier NP,"1,047,685","1,163,227","1,151,654","1,191,754","1,038,229","1,049,178","1,148,552","1,264,259","1,237,231","1,356,913","1,415,867","1,518,491","1,501,621","1,160,754","1,670,063","1,622,395","1,674,294","1,306,598"
"John D. Rockefeller, Jr. MEM PKWY","1,172,125","1,099,060","1,139,923","1,222,931","1,147,986","1,197,750","1,228,502","1,264,842","1,430,337","1,411,819","1,433,292","1,504,561","1,426,666","1,373,817","1,603,962","1,091,196","1,382,345","1,301,830"
Arches NP,"860,181","928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718","1,539,028","1,663,557","1,659,702","1,238,083","1,806,865","1,460,652","1,482,045","1,300,798"
New River Gorge NP & PRES,"1,178,012","1,212,854","1,144,318","1,151,213","1,071,088","1,128,195","1,071,823","1,124,799","1,178,753","1,197,931","1,168,658","1,232,627","1,195,721","1,054,374","1,682,720","1,593,523","1,707,223","1,240,814"
National Capital Parks East,"1,311,087","1,296,990","1,272,212","1,181,960","1,167,393","923,054","1,091,661","1,311,995","1,220,403","1,224,671","1,366,142","1,447,273","1,210,641","893,421","1,215,836","1,267,873","1,252,912","1,215,031"
Big Cypress NPRES,"822,864","813,790","812,207","665,523","941,393","882,570","1,007,788","1,192,856","1,112,290","1,102,148","922,883","794,350","1,007,471","1,181,930","2,563,810","2,903,159","1,846,562","1,210,211"
San Antonio Missions NHP,"1,208,498","1,303,212","1,567,667","1,304,690","568,021","614,810","521,705","1,395,337","1,322,154","1,358,911","1,381,383","1,208,104","1,281,121","1,141,353","1,335,071","1,238,920","1,180,929","1,172,464"
San Juan NHS,"1,025,407","1,135,577","1,069,673","1,105,252","1,229,590","1,279,814","1,328,802","1,382,906","1,532,818","1,456,553","1,188,780","910,405","1,197,345","357,100","798,188","1,027,264","1,314,819","1,137,664"
Death Valley NP,"704,122","871,938","828,574","984,775","946,867","984,568","951,972","1,101,312","1,154,843","1,296,283","1,294,827","1,678,660","1,740,945","820,023","1,146,551","1,128,862","1,099,632","1,102,044"
Timucuan EHP,"999,833","1,038,888","1,195,171","993,948","1,028,922","1,076,310","1,031,667","1,121,318","1,239,423","1,148,494","1,218,306","1,134,857","1,205,065","1,017,373","935,419","1,102,223","959,461","1,085,099"
Sequoia NP,"979,537","930,011","965,170","1,002,979","1,006,583","1,106,584","909,274","1,039,137","1,097,464","1,254,688","1,291,256","1,229,594","1,246,053","796,086","1,059,548","1,153,198","980,567","1,061,631"
Lake Meredith NRA,"984,108","875,280","1,080,644","883,586","734,030","502,457","554,272","692,195","831,374","1,025,613","1,329,076","1,106,233","1,328,340","1,612,784","1,307,769","1,276,717","1,337,683","1,027,186"
Minute Man NHP,"1,107,254","1,067,578","1,096,024","1,073,748","1,002,833","1,001,207","947,894","1,056,549","964,330","1,049,414","1,023,921","1,014,803","1,017,326","1,083,973","983,201","960,343","1,001,333","1,026,572"
Gettysburg NMP,"1,647,745","1,455,951","1,013,002","1,031,554","1,124,659","1,126,577","1,213,349","1,020,702","1,080,185","1,091,320","1,038,649","949,989","925,117","536,553","687,631","764,576","742,173","1,026,455"
Haleakala NP,"1,322,817","1,185,068","1,109,104","1,105,606","956,989","1,094,668","785,300","1,142,040","1,216,772","1,263,558","1,112,390","1,044,084","994,394","319,147","853,181","1,087,616","791,292","1,022,590"
Chickamauga & Chattanooga NMP,"991,645","993,535","992,448","991,901","1,036,699","1,032,844","905,984","996,694","1,002,373","1,027,738","994,537","945,962","977,158","678,414","945,390","964,272","1,021,822","970,554"
Badlands NP,"886,654","845,734","933,918","977,778","870,741","883,406","892,372","868,094","989,354","996,263","1,054,325","1,008,942","970,998","916,932","1,224,226","1,006,809","1,046,400","963,114"
Everglades NP,"1,074,764","822,118","900,882","915,538","934,351","1,141,906","1,047,116","1,110,901","1,077,427","930,907","1,018,557","597,124","1,118,300","702,319","942,130","1,155,193","810,189","958,807"
Curecanti NRA,"964,640","1,007,444","953,169","969,549","924,468","862,612","814,163","931,367","944,742","982,498","1,041,446","931,512","836,034","921,584","1,043,725","992,749","957,635","945,843"
Capitol Reef NP,"554,907","604,811","617,208","662,661","668,834","673,345","663,670","786,514","941,029","1,064,904","1,150,165","1,227,627","1,226,519","981,038","1,405,353","1,227,608","1,268,861","925,003"
Fort Vancouver NHS,"682,645","894,417","1,017,326","786,989","710,439","681,404","733,540","803,740","818,672","1,092,031","1,081,489","1,098,553","1,018,214","670,111","809,525","964,318","967,602","872,413"
Muir Woods NM,"811,033","838,292","779,880","834,356","897,131","972,331","954,125","1,049,400","1,099,923","1,123,121","1,062,099","957,932","812,073","324,232","657,722","798,625","809,697","869,528"
President's Park,"1,058,774","1,178,845","1,475,182","616,635","786,151","600,083","658,065","723,923","903,161","989,424","1,477,913","1,035,737","715,911","369,533","395,915","714,224","897,181","858,627"
World War I Memorial,,,,,,,,,,,,,,,"573,088","848,634","1,092,228","837,983"
Fredericksburg & Spotsylvania NMP,"469,920","473,841","906,175","899,936","908,836","982,324","880,251","873,328","891,917","969,895","919,311","926,464","906,800","838,835","736,416","756,296","844,890","834,437"
Whiskeytown NRA,"782,014","676,281","853,812","788,065","761,710","814,374","776,025","851,901","843,845","875,565","832,063","585,768","687,159","805,295","816,608","1,505,134","920,311","833,878"
Cumberland Gap NHP,"994,985","843,893","883,663","918,746","828,947","853,998","768,363","879,934","840,601","820,387","737,547","684,191","704,598","735,447","814,119","732,916","797,346","814,099"
Klondike Gold Rush NHP Alaska,"975,043","935,940","880,512","797,716","795,150","854,250","928,150","1,085,202","919,661","912,351","906,485","1,017,298","1,116,161",297,"33,228","342,909","1,284,320","810,863"
Cabrillo NM,"739,534","705,331","767,687","763,140","813,351","877,951","856,128","893,434","981,825","959,145","997,903","842,104","761,485","523,878","683,613","768,076","810,147","808,514"
Saguaro NP,"658,477","699,137","665,234","717,614","610,045","634,286","678,261","673,572","753,446","820,426","964,760","957,405","1,020,226","762,226","1,079,786","908,194","1,010,906","800,824"
Stonewall NM,,,,,,,,,,,"106,791","511,220","2,088,929",0,"70,000","1,581,961","832,650","741,650"
Ross Lake NRA,"290,701","253,333","288,458","682,736","728,353","742,200","725,917","710,612","772,579","905,418","759,656","892,044","1,088,528","920,526","855,926","998,019","881,837","735,108"
Pictured Rocks NL,"441,521","398,774","448,215","499,281","561,104","593,587","575,450","527,897","723,178","777,428","781,190","815,308","858,715","1,212,251","1,313,179","925,685","910,939","727,277"
Fort Sumter and Fort Moultrie NHP,"788,838","744,971","785,604","797,713","857,883","842,027","815,007","828,521","840,711","888,330","896,569","859,880","877,894","365,133","349,492","385,472","411,744","725,635"
Santa Monica Mountains NRA,"577,686","419,374","501,573","568,371","609,636","649,471","633,054","694,714","797,126","906,606","897,593","867,154","707,566","733,576","830,451","795,217","759,352","702,854"
Big South Fork NRRA,"626,751","675,928","686,747","656,374","606,579","600,161","565,063","599,906","643,135","684,715","761,200","760,906","750,494","772,625","834,724","797,726","766,000","693,473"
Castillo de San Marcos NM,"632,048","618,769","667,783","708,549","741,042","727,243","778,128","760,708","819,154","854,664","876,975","748,058","673,395","251,061","498,623","624,841","646,703","683,985"
Mojave NPRES,"582,675","618,285","528,865","600,897","536,006","542,527","549,599","554,560","589,155","585,635","716,604","787,404","841,516","608,633","866,635","773,463","1,178,998","674,203"
Cedar Breaks NM,"514,871","538,016","492,353","525,831","493,147","631,809","466,450","762,907","793,601","899,676","909,199","644,515","579,861","845,867","772,886","688,644","614,292","657,290"
Canyon de Chelly NM,"825,320","835,860","826,425","827,247","828,145","828,523","828,478","827,761","813,686","821,406","825,660","439,306","460,757","76,752","184,191","354,972","333,349","643,402"
Fort Matanzas NM,"830,672","813,131","793,253","673,700","570,695","497,574","523,694","568,529","622,175","557,810","578,981","608,103","593,788","543,590","562,114","698,895","711,543","632,250"
Theodore Roosevelt NP,"456,588","516,804","586,928","623,748","563,407","640,555","545,090","559,580","580,033","753,880","708,003","749,389","691,658","551,303","796,085","668,679","746,862","631,682"
Petrified Forest NP,"563,590","543,714","631,613","664,725","614,054","664,857","644,648","836,799","793,225","643,274","627,757","644,922","643,588","384,483","590,334","505,209","520,491","618,664"
Canyonlands NP,"417,560","436,715","436,241","435,908","473,773","452,952","462,242","542,431","634,607","776,218","742,271","739,449","733,996","493,914","911,594","779,147","800,322","604,079"
Padre Island NS,"658,317","635,925","642,163","612,716","542,873","573,855","515,830","578,815","582,839","634,012","650,197","616,033","576,299","617,704","615,826","531,624","552,687","596,336"
Kings Canyon NP,"580,129","574,870","609,296","598,205","566,810","591,033","567,544","502,268","468,106","607,479","692,932","699,023","632,110","415,077","562,918","640,986","643,065","585,403"
Wind Cave NP,"603,158","573,433","587,868","577,141","538,394","529,083","516,142","547,022","612,198","617,377","619,924","656,397","615,350","448,405","709,001","607,418","592,459","585,339"
