NPS Mortality CY 2007 to CY 2023 ,,,,,,
Released April 2023,,,,,,
Incident Date,Park Name,Cause of Death,Intent,Outcome,Sex,Age Range
1/1/2007,Glen Canyon National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,65+
1/22/2007,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
1/22/2007,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,Not Reported
1/29/2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
1/29/2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54
2/7/2007,Gateway National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,Not Reported
2/10/2007,Black Canyon Of The Gunnison National Park,Fall,Unintentional,Fatal injury,Female,15-24
2/11/2007,Big South Fork National River and Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
2/24/2007,Mount Rainier National Park,Avalanche,Unintentional,Fatal injury,Male,45-54
3/3/2007,Biscayne National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,25-34
3/6/2007,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
3/7/2007,Gateway National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
3/14/2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Female,0-14
3/14/2007,Colorado National Monument,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
3/19/2007,Mount Rainier National Park,Drowning,Unintentional,Fatal injury,Male,35-44
3/19/2007,Mount Rainier National Park,Drowning,Unintentional,Fatal injury,Female,45-54
3/23/2007,Mount Rainier National Park,Drowning,Unintentional,Fatal injury,Male,35-44
3/23/2007,Mount Rainier National Park,Drowning,Unintentional,Fatal injury,Female,35-44
3/27/2007,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Female,35-44
3/29/2007,Glen Canyon National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
3/31/2007,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,55-64
4/2/2007,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Male,Not Reported
4/5/2007,Olympic National Park,Drowning,Unintentional,Fatal injury,Male,15-24
4/6/2007,Glen Canyon National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
4/8/2007,North Cascades National Park,Fall,Unintentional,Fatal injury,Male,25-34
4/10/2007,Redwood National and State Parks,Drowning,Unintentional,Fatal injury,Male,Not Reported
4/14/2007,Death Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
4/15/2007,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
4/19/2007,Yosemite National Park,Fall,Unintentional,Fatal injury,Female,35-44
