,Park Name,Year,Cause of Death
0,Lake Mead National Recreation Area,2021,26
1,Grand Canyon National Park,2014,26
2,Lake Mead National Recreation Area,2017,26
3,Lake Mead National Recreation Area,2022,24
4,Yosemite National Park,2017,22
5,Lake Mead National Recreation Area,2010,22
6,Blue Ridge Parkway,2018,21
7,Lake Mead National Recreation Area,2014,21
8,Lake Mead National Recreation Area,2019,21
9,Natchez Trace Parkway,2017,20
10,Blue Ridge Parkway,2016,20
11,Yosemite National Park,2015,20
12,Grand Canyon National Park,2018,20
13,Golden Gate National Recreation Area,2019,20
14,Grand Canyon National Park,2017,20
15,Lake Mead National Recreation Area,2015,20
16,Lake Mead National Recreation Area,2018,19
17,Yosemite National Park,2018,19
18,Lake Mead National Recreation Area,2016,19
19,Lake Mead National Recreation Area,2011,18
20,Lake Mead National Recreation Area,2009,17
21,Golden Gate National Recreation Area,2017,17
22,Sequoia & Kings Canyon National Parks,2017,17
23,Natchez Trace Parkway,2014,17
24,Lake Mead National Recreation Area,2012,16
25,Great Smoky Mountains National Park,2019,16
26,Lake Mead National Recreation Area,2020,15
27,Yosemite National Park,2019,15
28,Denali National Park & Preserve,2012,15
29,Blue Ridge Parkway,2019,15
30,Natchez Trace Parkway,2016,15
31,Great Smoky Mountains National Park,2016,15
32,Golden Gate National Recreation Area,2016,15
33,Yosemite National Park,2011,15
34,Yosemite National Park,2016,15
35,Great Smoky Mountains National Park,2018,14
36,Blue Ridge Parkway,2017,14
37,Blue Ridge Parkway,2015,14
38,Grand Canyon National Park,2015,14
39,New River Gorge National River,2018,14
40,Natchez Trace Parkway,2018,14
41,Grand Canyon National Park,2016,14
42,Lake Mead National Recreation Area,2013,14
43,Natchez Trace Parkway,2015,13
44,Glen Canyon National Recreation Area,2018,13
45,Grand Canyon National Park,2019,13
46,Natchez Trace Parkway,2019,13
47,Sequoia & Kings Canyon National Parks,2016,12
48,Lake Mead National Recreation Area,2008,11
49,Gateway National Recreation Area,2015,11
50,Grand Canyon National Park,2011,11
51,Great Smoky Mountains National Park,2020,11
52,Golden Gate National Recreation Area,2009,11
53,Yellowstone National Park,2015,11
54,Yosemite National Park,2014,11
55,Grand Canyon National Park,2009,11
56,Great Smoky Mountains National Park,2022,11
57,Glen Canyon National Recreation Area,2007,10
58,Yellowstone National Park,2019,10
59,Yellowstone National Park,2016,10
60,Cape Hatteras National Seashore,2016,10
61,Zion National Park,2015,10
62,Golden Gate National Recreation Area,2022,10
63,Great Smoky Mountains National Park,2021,10
64,Baltimore-Washington Parkway,2022,10
65,National Mall & Memorial Parks,2022,10
66,Mount Rainier National Park,2012,9
67,Sequoia & Kings Canyon National Parks,2019,9
68,Cape Hatteras National Seashore,2017,9
69,Mount Rainier National Park,2014,9
70,Rocky Mountain National Park,2018,9
71,Mount Rainier National Park,2007,9
72,Great Smoky Mountains National Park,2013,9
73,Death Valley National Park,2019,9
74,New River Gorge National River,2017,9
75,Gulf Islands National Seashore,2021,9
76,New River Gorge National River,2019,9
77,Lake Mead National Recreation Area,2007,9
78,Blue Ridge Parkway,2014,9
79,George Washington Memorial Parkway,2019,9
80,Grand Teton National Park,2014,9
81,Yosemite National Park,2012,9
82,Golden Gate National Recreation Area,2015,9
83,Natchez Trace Parkway,2020,9
84,Baltimore-Washington Parkway,2013,9
85,Grand Canyon National Park,2010,9
86,Glen Canyon National Recreation Area,2016,9
87,Yosemite National Park,2009,9
88,Baltimore-Washington Parkway,2019,9
89,Natchez Trace Parkway,2021,9
90,Glen Canyon National Recreation Area,2012,9
91,Great Smoky Mountains National Park,2017,8
92,Grand Teton National Park,2018,8
93,Golden Gate National Recreation Area,2018,8
94,Blue Ridge Parkway,2011,8
95,Point Reyes National Seashore,2015,8
96,National Mall & Memorial Parks,2015,8
97,Point Reyes National Seashore,2014,8
98,Glen Canyon National Recreation Area,2017,8
99,New River Gorge National River,2011,8
100,Gateway National Recreation Area,2016,8
101,Saint Croix National Scenic Riverway,2015,8
102,Glen Canyon National Recreation Area,2019,8
103,Gateway National Recreation Area,2019,8
104,Sequoia & Kings Canyon National Parks,2018,8
105,Suitland,2017,8
106,Grand Teton National Park,2013,8
107,Golden Gate National Recreation Area,2010,8
108,Buffalo National River,2022,8
109,Rock Creek Park,2017,8
110,Yosemite National Park,2022,8
111,Shenandoah National Park,2018,8
112,Grand Canyon National Park,2022,8
113,Glen Canyon National Recreation Area,2014,8
114,Grand Canyon National Park,2021,8
115,Baltimore-Washington Parkway,2020,8
116,Denali National Park & Preserve,2010,8
117,Golden Gate National Recreation Area,2014,8
118,Glen Canyon National Recreation Area,2013,8
119,Virgin Islands National Park,2021,8
120,Rocky Mountain National Park,2019,8
121,Denali National Park & Preserve,2011,8
122,Rocky Mountain National Park,2014,8
123,Delaware Water Gap National Recreation Area,2008,7
124,Delaware Water Gap National Recreation Area,2013,7
125,Great Smoky Mountains National Park,2015,7
126,Mount Rainier National Park,2018,7
127,Buffalo National River,2019,7
128,Glen Canyon National Recreation Area,2021,7
129,Golden Gate National Recreation Area,2008,7
130,Presidio of San Francisco,2019,7
131,Zion National Park,2010,7
132,Sequoia & Kings Canyon National Parks,2014,7
133,Yellowstone National Park,2010,7
134,Glen Canyon National Recreation Area,2020,7
135,Grand Teton National Park,2012,7
136,Cape Hatteras National Seashore,2021,7
137,Yellowstone National Park,2018,7
138,Rocky Mountain National Park,2010,7
139,Great Smoky Mountains National Park,2009,7
140,Olympic National Park,2019,7
141,Chattahoochee River National Recreation Area,2013,7
142,Mount Rainier National Park,2010,7
143,Grand Canyon National Park,2020,7
144,Upper Delaware Scenic & Recreational River,2021,7
145,Great Smoky Mountains National Park,2014,7
146,Great Smoky Mountains National Park,2010,6
147,Glen Canyon National Recreation Area,2011,6
148,Grand Canyon National Park,2012,6
149,Buffalo National River,2015,6
150,Golden Gate National Recreation Area,2007,6
151,Haleakala National Park,2007,6
152,Yosemite National Park,2021,6
153,Valley Forge National Historical Park,2014,6
154,Rocky Mountain National Park,2016,6
155,Sequoia & Kings Canyon National Parks,2013,6
156,Sequoia & Kings Canyon National Parks,2012,6
157,Death Valley National Park,2014,6
158,Gulf Islands National Seashore,2014,6
159,Death Valley National Park,2018,6
160,Olympic National Park,2017,6
161,Cape Hatteras National Seashore,2012,6
162,Cape Hatteras National Seashore,2007,6
163,Yosemite National Park,2010,6
164,Blue Ridge Parkway,2010,6
165,New River Gorge National River,2012,6
166,New River Gorge National River,2022,6
167,New River Gorge National River,2016,6
168,New River Gorge National River,2015,6
169,Colonial National Historical Park,2016,6
170,Lake Mead National Recreation Area,2023,6
171,George Washington Memorial Parkway,2021,6
172,George Washington Memorial Parkway,2022,6
173,Grand Canyon National Park,2013,6
174,Grand Canyon National Park,2007,6
175,Glen Canyon National Recreation Area,2015,6
176,Yellowstone National Park,2007,6
177,Joshua Tree National Park,2014,6
178,Chattahoochee River National Recreation Area,2019,6
179,Baltimore-Washington Parkway,2021,6
180,Glen Canyon National Recreation Area,2008,6
181,Glen Canyon National Recreation Area,2009,6
182,Shenandoah National Park,2021,6
183,Cape Hatteras National Seashore,2009,6
184,Yosemite National Park,2007,6
185,Suitland,2019,6
186,Suitland,2018,6
187,Natchez Trace Parkway,2007,6
188,Gateway National Recreation Area,2014,6
189,Natchez Trace Parkway,2008,6
190,Natchez Trace Parkway,2010,6
191,Golden Gate National Recreation Area,2020,5
192,Death Valley National Park,2021,5
193,Golden Gate National Recreation Area,2013,5
194,Cape Hatteras National Seashore,2014,5
195,Suitland,2021,5
196,Indiana Dunes National Park,2011,5
197,Chattahoochee River National Recreation Area,2018,5
